	label	reviews
0	0	오늘자 삼영이개그^^ 
1	0	그냥 운지했단 기사 나오면 많은 사람들이 위로 해 줄꺼다! 
2	0	이게 무슨 개 논리인지...창섭인 아직 안정적이지 않아 1군 콜업 안한다면서~장필준은 왜 아직 1군인건지...전혀 안정적이지도 않고 밸런스도 좋지 않은데 ㅎ대체 왜이리 믿음을 주는지...왜 내치질 못하는지답답하다...뭐 오늘은 나름 필승조가 나왔지만 역전당한거라 전적으로 장필준 탓은 아니지만, 1점차에서 장필준은 누가봐도 수건 던진거지...롯데 선수들 자신있게 배트 돌리던데 에효  
3	0	길에서보면 돌로 대.가.리 찍어버릴라니까 
4	0	오래살겄다 욕을 마니먹어서..무병장수하소서 
5	0	ㅋㅋ 
6	0	니가말햇제남은 50경기때초강수띄운자고그냥감독하지마라넌감독할자격없다 
7	0	100%장담함 
8	0	ㅋㅋ 
9	0	100% 장담함 
10	0	 올시즌은 끝났다,열심히 하는 척 하지말고 선수들 보호해라,내년을 대비하는 게 최상책이다, 과연 김한수감독 체제엿다면 올 시즌 선수들 가지고 과연 이 성적일까? 올 시즌 평가하자면 감독 수석,타코ㅡ투코 전부 최악이다, 역대 삼성 코치스탭중 최악이라고 생각한다, 지금 8위지만 한화와 스크 제외하면 작년보다 나은 게 전혀 없다, 특히 타격이 완전 침몰햇다, 원태인이 최근 완전 2군투수가 됐다,2군 보내서 쉬게해라, 태인이는 선발이 적합한지 불펜이 적합한지 고민해봐야한다, 내년엔 김대우를 선발로 쓰는 게 좋을 거 같다, 원태인은 올해 끝나고 내년 수술 드가까봐 겁난다, 투수 교체 기준이 뭔지,투수 기용기준이 뭔지 정말 궁금타,, 포수가 정말 중요하다,강민호가 지쳤다,용병만 포수 맡고,, 국내선순 전부 김도환이나 권정웅이 포수 해라,, 강민호 그 나이에 거의 전경기 뛴다는 게 대단하다고 생각한다, 강민호에게 고도의 집중력을 요구하는 게 불가능하다고 생각한다,  내년 준비하자,,아프고 부상있는 선수 2군 보내고 내년 대비해라, 시즌 끝낫는데..마지막까지 포기 안 하고 열심히 하는 척하지마라, 할려면 진작에 열심히 하지,시즌초에 두 번 이기면 세 번째 게임엔 주전 빼버리고,, 왜 그래? 지금은 스트레스 받지말고 그냥 게임을 즐기면서  시즌 마무리해라,, 제발 하는 척 하지마라,,위선 좀 떨지말자,,    
11	0	롯데가 역전했듯이끝까지 해봐야하는데 장필준 올려서경기포기 추가 3실점 헌납 
12	0	.부산=스포츠조선 정현석 기자]삼성 좌완 이상민(30)이 시즌 첫 선발 출격한다.이상민은 11일 부산 사직구장에서 열리는 롯데자이언츠와의 시즌 13차전 선발 투수로 낙점됐다.허삼영 감독은 10일 롯데전에 앞서 이상민 선발 구상을 전하며 경험도 있고, 생소함은 없다. 다만, 불펜데이인 만큼 길게는 안보고 있다. 내일 경기 때문에 오늘 불펜 투수 중 쉬는 선수가 많다고 설명했다.오늘불펜다나왔자나 미.친.새.끼.야 
13	0	그게야구냐 
