	review	label
0	하필 골을넣어도 관종둘이 넣는다는거 누가그랫냨ㅋㅋㅋㅋㅋ 아낰ㅋㅋㅋㅋㅋㅋㅋㅋㅋ너무웃겨 세레머니할때 진짴ㅋㅋㅋ	0
1	김진야 선수는 선수교체 한번없이 전반후반 모듬경기 다 열정적으로 뛰셧어요ㅠㅠㅠ 다른 선수분들도 최고지만 김진야 선수 열심히 뛰어서 노력해주시고 결과이루어 내주신것도 알ㄹ아주세요 (◍•ڡ•◍)♥	0
2	희찬이 진짜 잘해줬다. 수비도 가담해서 공 많이 뺏고 공격때도 돌파 많이 하고 패스도 적절하게 해주고 아쉬운게 있었다면 슛 때려도 될 타이밍에 패스를준거? 근데 그게 더 잘한걸수도 있어. 어 희찬이 욕많이먹어서 오늘은 잘했으면 했는데 잘해줘서 좋네. 산책세레머니도 좋았고  어 수고했다. 그리고 김진야가 여태 많이 숨겨져있는데 김진야도 알아봐 주세요. 미친놈입니다. 체력이 미쳤어요. 체력뿐만 아닙니다. 그냥 미쳤어요. 대한민국에서 나오기 어려운 수비수입니다. 그리고 김민재도 오늘 대단했다. 항상 뒤에는 김민재와 김진야, 조현우선수가 있기에 든든했습니다.	0
3	김민재 김진야 선수도 챙겨주세요ㅠㅠ 진짜 오늘 수비수들 너무 잘해주고 수고많으셨습니다!ㅠㅠ 진짜 우리나라 수비수들 없었으면 금메달 못땄을거에요 ㅠㅠ 너무 수고하셨어요	0
4	진짜..빡빡한 일정에도 불구하고 단 한 번도 정신력을 잃지 않고 끝까지 싸워준 대한민국 선수들 진심으로 수고하셨습니다. 특히 마음고생 심했을 황희찬 선수 오늘은 두 발 뻗고 푹 주무세요. 모두 군전역 했으니 해외리그까지 승승장구해서 나아가시길 바라겠습니다♥️♥️	0
5	우리 아파트 단지에서 사람들 비명 와따	0
6	황희찬 헤딩은 진짜 역대급이다ㄷ	0
7	황희찬 진짜 엄청난 비난을 견뎌내고 열심히뛰네	0
8	4:03이거 김민재가 한골넣은거랑 다름없는데. 한국에서 저런수비력, 빌드업능력 현역중에 없잖아	0
9	김진야.... 모든경기 풀타임으로 뛰고 게다가 엄청 잘해줬음 ㄷㄷ 이번 아시안게임으로 발굴해낸 선수들이 많은듯	0
10	크으~~~ 빛현우~ 골대가 아니라 논산 훈련소 입구를 막았네	0
11	0:50 손흥민 사포?	0
12	와 이승우 확 뺏어서 꽂아버리네... 다른선수들은 손흥민있어서 안건드렸을텐데 바로 때려버리네ㅋㅋㅋ 개멋있다	0
13	손흥민선수 어시스트2개 미쳤구요이승우선수 대포알슛 미쳤구요황희찬선수 헤더골 미쳤습니다황희찬선수의 한일전 박지성선수 산책세레모니 보고 너무 재밌었네요갓진야	0
14	빛때문에 가려진 빛진야.. 그의 활동력이 있기에 군면제가 있습니다	0
15	와 골넣고 난뭐 우리아파트 날라가는줄 엄청 소리지름 ㅋㅋㅋㅋ	0
16	3:36이 선수는 훗날 world No.1 CB 반 데이크의 태클을 재끼고 골을 넣는데...	0
17	4:12 흥민이 너무 좋아한다 폴짝 뛰네 ㅋㅋㅋㅋ	0
18	이게 벌써 1년전.... 시간참빠르다ㅅㅂ수능	0
19	여러분...김민재군을...기억합시다 숨은 주역 김민재선수 오늘 수비 너무나도 잘했습니다	0
20	1:04 으악 눈부셔	0
21	진짜 옆집 윗집 밖에서 소리지르고 난리도 아니였습니다..얼마나 뿌듯하고 자랑스러웠는지 몰라요 우리선수들!	0
22	이승우 황희찬 황의조 손흥민 조현우 진짜 멋있고 잘하셨어요  💓❤ 승우오빠 세레머니 짱 이였어요 ㅋㅋㅎㅎ그 외에 대한민국선수들 모두  잘하셨습니다 !!	0
23	고생했다  ㅋㅋ 흥민아 프리미엄이 너를 기다린다 얼른가라	0
24	시발 마지막 골먹혔을때 존나 조마조마했다	0
25	애국심 불타오름 김민재 선수 ㄹㅇ 숨은 인재	0
26	진짜 결승전 졌으면  손흥민이랑  군대가야되는사람은  진짜로 앞으로가 너무 힘들고  진짜진짜  아무것도 하기싫어졌을텐데  다행이다다시보는데  진짜로  조마조마하네	0
27	손흥민.... 그동안 당신의 눈물만 본것 같아서 마음이 아팠는데 이젠 값진 금메달을 땃으니 항상 웃으시고 앞으로도 좋은 모습 보여주시길 바라겠습니다!	0
28	모두 진심으로 축하드리고 감사합니다 간만에 소리지르며 좋아했네요모두 수고 많으셨어요 손흥민선수 군면제 진심으로 축하드려요ㅜㅜ사실 한일전 결승이라는 사실보다 손흥민 군대걸렸다는 점때문에 더 긴장하며 본거같네요 진심으로 너무 행복한 밤입니다	0
