	label	reviews
0	0	고액 연봉자들 전부 삭감들해라 동결도 아깝다임현준 박계범정도 올려줘라 설렁 설렁 하는선수들내년엔 눈깔에 힘들어가게 연봉삭감 확실히 해라 실력위주로 연봉측정 해라 배고프고 절실해봐야 정신들 차린다 
1	0	박석민.이정후.최정.김강민.김주찬.전준우.양의지이런선수들.좀. 데리고. 와라Fa때. 엉뚱한. 넘들. 데리고. 온다고. 돈. 쓰지말고 
2	0	지난 3년간 가장 발전이 없는팀중 하나가 삼성이라 많은팬들이 외면했다.롯데를보라. 팬들의발길을 되돌리는 길은 성적 향상 외는 없다.그 첩경이실력과 카리스마를 가진 감독의부임이다.내부 승진은 자멸의길이라는 점을 명심하기 바란다. 
3	0	두분다 경험이 있어 잘 할거로 봅니다. 
4	0	단장은 국내외 스카웃을 잘 할수 있는 프런트를 잘 구성할 수 있는 인물로, 감독은 유능한 코치를 잘 거느릴 수 있는 인물로 방향을 설정하면 휼륭한 인사가 될것이라 봅니다 
5	0	 안녕하세요? 인천에 사는 직장인 입니다.  어제 직관에가서 이학주 끝내기 홈런 멋있었습니다.  어제 경기가 늦게 끝나서 그런지 오늘 수원경기는 맥없이 무너졌네요 ㅠ 여튼 올한해 삼성선수들 고생 많았습니다. 내년엔 팬분들의 성원에 보답할 수 있는 해가 되었음 합니다. 또한, 삼성라이온즈 차기 감독은 강력한 카리스마가 있는 분이 되었음 합니다. 어린 선수들을 성장시키면서 중고참 고참들을 이끌고 아우룰수 있어야 합니다.  급하게 선정하지 말고 신중하게 내정하여 팬분들에게도 납득이 되어야 합니다.  감사합니다.   
6	0	 미움이나 원망은 없습니다. 선수 김한수에 대해서는 좋은 기억 가지고 있어요. 건강하시고 언젠가는 다시 뵙고 싶네요. 
7	0	삼성에서 첫 우승과 최고의 전성기를 누린 마해영, 대구가살기 좋다고 삼성을 떠난후에도 현재까지 대구에 가족들과 거주하는 의리.현재 양준혁과 비슷한처지로 프로구단에 스카웃 제의가없는 몇안되는스타플레이어.감독이 안된다면필히 타격코치로 영입합시다. 
8	0	감독 같지도 않은 김한숨 감독님 제계약은 절대 안됩 니다 올 2019 시즌 삼성 라이 온즈 야구는 저한 테는 실망 그 자체 입니다 내년 2020 시즌 에는 대폭 물갈이 합시다 
9	0	감독하라한다고 눈먼고기 미끼 덥썩 물듯 자리 꽤차더니 3년뒤 이기 뭐꼬? 남긴 자산이라도 있나소리없는강자 김한수 레전드이미지는오데간데없고 앞날 야구인생도 흐림 일텐데욕도 많이했지만 여튼 안타깝고 고생많았수다 
10	0	오늘 시즌 마지막 경기 수원 직관으로 잘봤다....야구도 인성도 팀관리도 기본이 안된 자,슥아...최소한 대패한 마지막 경기라도 땡볕에서 응원한 팬들한테 최소한 코칭스텝과 니가 나와서 인사는 해야 되는거 아니냐....정말 마지막까지 실망이다...섹햐 
11	0	 이3명에 선수는 특단에초치가 필요합니다. 강민호는 연봉삭감도 안될거고 ㅜㅜ 구자욱 박해민은 대폭 삭감 필요합니다.. 전혀 프로선수라 보이지않은 모습으로 한시즌 잘놀았습니다. 삼진당해도 병살을처도 싱글벙글 이런맨탈은 확실이뿌리뽑아야합니다.  
12	0	선수기용, 후진양성, 정신력, 작전능력,사기진작,뮈하나 배울점이 1도 없어, 코치, 감독,단장 당신들도 똑 같아전부 바꿔라, 또있다, 기량이 안되는 선수 수루둑하다손주인, 이학주, 최영진, 김도환, 송준석, 김성훈,공민규, 박찬도,김헌곤, 박해민,감민호 등 11명은구제불능 그럼 거의 없네 그나마 러프,구자욱,김상수,윌슨, 이원석 5명 밖에없네 모자라는 선수11명정도는 신인과 fa에서 잡아오소 자칭 야구전문가가 올립니다맞으면 댓글로 답좀해주세요 
13	0	 경질이나 사퇴기사가 왜 안뜨나요? 제계약 기사 뜨는거아녀 5년제계약 왕조 구축하고싶다로.... 정말 그럼안되지만  김태한감독 선임뜰까봐 겁난다..  
