	id	reviews	label
0	tEgM24J	타케루의 명연기도 이겨내지 못한 일본식 차도남.. 너무 옛것이다. 초반에 잠깐 재밌었다.	0
1	tEgM24J	전형적인 츤데레 남주를 만난 무한긍정 에너지 여주. 갈수록 무개연성의 난무에 지치게 된다. 배우들의 매력으로도 무마는 힘들다.	0
2	tEgM24J	하...일본배우야..사토다케루야...왜 연기 그따구로 하니...눈에 담왔니...목소리는 왜 그러니...내용은 뭐니 나 꿈꾸는 장면인가 했자나...러브신들이 하나같이 작위적이야...가려는거 잡아 무릎에 앉혀...벽을 쳐..미친놈...그리고 카리나가 대체 왜??????!이런 역할을 하며 씻고 다니는지 궁금한 덜떨어져 보이는 애랑 뜬금없이 왜 붙여주는 거야? 차라리 전남친이랑 잘되는 스토리를 만들기라도 하지...정말 하등 필요없는 캐릭에 카리나는 왜씀...넘 최악이다	0
3	tEgM24J	남주 얼굴 하나를 보기위해 견뎠다. 민폐형 의욕만 앞서는 캔디 여주는 언제까지 나올 셈인지...일드는 아직도 여기서 발전하지못한건가..?	0
4	tEgM24J	사토타케루 얼굴에 만점을 주는거임	1
5	tPvZVBO	올해 본 신작미드중 top3에 꼽고싶다. 스토리, 연기 다 훌륭했지만 특히 화면연출이 정말환상적임.	1
6	tPvZVBO	"셜리 잭슨이 쓴 원작 첫 장의 문장들을 고스란히 옮긴 이 드라마의 첫 나레이션은 힐하우스를 구성하는 벽과 벽돌과 바닥과 문과 그 공간을 메우던 침묵을 차례로 묘사하더니, ""그곳을 걷던 것들을 무엇이든 홀로 걸었다(and whatever walked there, walked alone.)""는 구절로 마무리된다. 개인적으로 원작은 주체적으로 홀로 서고자 하는 열망을 품고 있던 여성 엘리너가 사회적으로 학습된 관념들로 인해 자기 자신의 그러한 열망을 스스로 검열하고자 하는 내적 기제 및 자신 외부의 사회적 억압을 상징하는 힐하우스로 인해 타인들로부터 유리되어 가는 심리 묘사가 탁월한 작품이었다고 생각한다. 그런 맥락에서라면 힐하우스의 구성 요소에 대한 묘사는 그런 굳건한 관념의 형상화이며, 그 끝에 '홀로 걸었다'는 문구는 그 열망을 표할 때 타인들로부터, 사회로부터 외면받고 유리되지 않을까 하는 공포심의 발로라고 볼 수도 있을 것이다..그러나 마이크 플래너건이 원작을 완전히 재해석한 듯한 이 드라마에서 셜리 잭슨의 원작 속 문장들을 옮겨온 드라마의 첫 나레이션은 전혀 다른 맥락으로 새롭게 읽히게 된다. 네이버 영영사전에서 'home(집)'이란 단어를 찾아보면, 1번 항목상 'house(주거를 위해 머무는 건물)'와 같은 의미로 쓰임을 알 수 있지만, 동시에 4번 항목상 'family unit(가족)'과 같은 의미로 쓰이기도 함을 알 수 있다. 원작에서나 드라마에서나 ""Come home(집으로 와)""이라는 문장이야말로 힐하우스가 가장 노골적으로 극중 인물들에게 외친 문장이라 할 수 있다. 플래너건은 바로 이 home과 house와 family의 유사성으로부터 이야기를 다시 쓰고 있다..드라마의 첫 다섯 에피소드는 크레인 가의 다섯 남매 각각의 시점에서의 이야기를 나이순으로 차례차례 전개해 나간다. 그리고 매 에피소드마다 등장하는 이 드라마의 오프닝 타이틀은 힐하우스 내부의 조각상들을 묘사하며 시작해 집 외관의 묘사로 나아가는 방식이다. 마치 이 드라마가 그 집의 형식을 닮아 있다고 선언하는 것처럼. 'home'이란 단어를 매개로 하여 'house'란 단어와 'family'란 단어가 유사한 의미군으로 묶일 수 있다면, 그리고 이 드라마 자체가 하나의 'house'라고 볼 수 있다면, 크레인 가의 다섯 남매가 크레인 가의 가족 구성원을 이루었던 것처럼 그 다섯 남매 각각의 이야기를 다룬 다섯 개의 에피소드는 이 드라마라는 house를 세우기 위한 다섯 개의 기둥이나 다름없다. 아니, 셜리 잭슨의 문장을 따르자면, 스티븐을 다룬 1부, 셜리를 다룬 2부, 테오를 다룬 3부, 루크를 다룬 4부, 넬을 다룬 5부는 각각 이 드라마라는 건물의 벽, 벽돌, 바닥, 문, 그 내부의 침묵이다. 그리고 셜리 잭슨의 문장을 마무리지었던 구절처럼, 그들 각각의 에피소드는 적어도 5부의 시점까지는 '홀로 걸었다(walked alone).'.다섯 남매와 그들의 아버지가 비로소 한 데 모이는 6부는 특이하게도 롱테이크가 전면적으로 사용된 에피소드이다. 다섯 남매와 아버지의 현재와 과거를 하나의 동선 안에 촘촘히 엮어나가는 약 세 번의 롱테이크는 마치 그 이전까지 외따로 제시된 다섯 에피소드이자 다섯 개의 기둥 혹은 벽과 벽돌들과 바닥과 문과 침묵을 하나의 지붕 아래 연결하려는 시도처럼 보인다. 이 롱테이크들은 대체적으로 아버지 휴의 동선에 따라 진행되며, 특히 과거 시점에서는 아버지 휴가 어머니 리즈를 쫓는 동선에 따라 진행되는데, 그로 인해 다섯 남매라는 기둥들을 아버지와 어머니가 지붕처럼 덮어 연결한다는 느낌이 한층 더해진다. 그러나 아이러니하게도 아버지와 어머니라는 지붕이 다섯 남매를 연결해 보려는 순간, 다섯 남매가 각각 숨기고 있던 비밀들이 곪아 터지고 그들 간의 갈등은 극에 달하고 만다. 그렇게 불안한 기반 위에 세워가던 집이 일순간에 붕괴된다..7부부터 이야기의 초점은 부모인 휴와 리즈에게로 옮겨간다. 그들은 결함이 있는 집들을 구입해 그곳에서 살며 수리를 한 뒤 되파는 방식으로 돈을 벌어온 것으로 보인다. 아버지 휴는 그 누구보다 자신이 건물 손해 평가 및 그 수리에 능통하다고 믿는 듯하며 '고친다(fix)'는 말이 입에 배어 있는 인물이다. 어머니 리즈는 건물 구조를 파악하여 그 설계도를 그리는 데 능한데, 늘 앞으로 영원히 살게 될 집(forever house)의 청사진을 이상향처럼 품고 있는 인물이다. 그들이 집이란 건물(house)을 대하는 태도는 고스란히 그들이 가족(family)을 대하는 태도로 이어진다. 그들은 일견 아이들에게 친근하고 사려깊은 모범적인 부모로 보여지나, 그들은 가족 구성원들의 비밀이나 공포나 나약함이나 걱정들에 대처할 경우에 있어서 종종 스스로를 지나치게 과신하였다. 힐하우스는 바로 그 과신에 기반하여 가족을 무너뜨린다..뭐든지 고칠 수 있으리라 자신하였던 휴는 처음으로 자신이 고칠 수 없는 힐하우스의 검은 곰팡이 앞에 망연자실했고, 마찬가지로 자신이 애초부터 고칠 수 없던 가족들의 공포에 대해 좀처럼 믿지 않고 그저 외면할 뿐이었다. 리즈는 자신의 모계로부터 전달된 특별한 능력을 겉으로는 기꺼이 수용한 척하면서도 내적으로는 더없이 공포스러워 했다. 그래서 자신의 두통은 약으로 잠재우려 했고 테오에겐 장갑을 선물하여 아예 그 능력을 망각할 것을 종용했다. 자신의 피로 유전된 그 능력을 무의식 중에 끊임없이 두려워한 리즈는 아마도 스스로의 가족에 해결될 수 없는 결함이 있다고 여겼을 것이며 '지극히 정상적인 이상향'을 열망하였을 것이며 그 열망이 곧 forever house의 청사진으로 표출된 것이리라. 그렇게 늘 자신들이 비정상이라 여겼기에 리즈는 자신의 자식들이 자신들의 품을 벗어날 경우 마냥 취약할 거라 여길 수밖에 없었고,힐하우스는 바로 이 그릇된 모정을 파고든다. 재미있게도, 환부를 마냥 고치려고만 하거나 그것이 안 될 경우 외면하려 한 아버지 휴의 태도와 자신과 가족 구성원들의 결함을 좀처럼 있는 그대로 받아들이지 못하고 존재하지도 않는 '정상'이란 이상을 꿈꾸던 어머니 리즈의 태도는, 다섯 남매 중 '가장 정상적인 것처럼 보였던' 첫째 스티븐과 둘째 셜리의 가장 큰 약점으로써 반복되었음이 드러난다(다섯 남매 중 스티븐과 셜리만이 원작에 등장하지 않은 인물이라는 것도 지극히 의도적으로 보인다.)..자기 자신과 가족들의 결함을 있는 그대로 받아들이고 사랑할 수 없었던 휴와 리즈는 결국 실패한 부모이다. 이는 아예 딸에게 있어 세상으로 나갈 문을 걸어잠가버린 더들리 부부 역시 마찬가지이다. 힐하우스는 가족 내부의 곪아가는 갈등을 검은 곰팡이처럼 피워 가족 구성원들을 질식시켜왔다. 결국 크레인 가족과 더들리 가족 역시 힐하우스로부터 파멸을 피하지 못한 것이다..다섯 남매는 힐하우스를 벗어난 뒤에도 각각의 약점과 결함들을 비밀처럼 숨기거나 그에 대한 공포에 마냥 떨었고 이는 다시 그들 각자가 다시 꾸린 가족이나 타인과의 관계에 있어서의 실패로 이어진다. 그러나 넬은 힐하우스로 돌아와 죽음을 맞이한 순간, 자신이 그토록 평생에 걸쳐 두려워하던 공포의 정체가 자기 자신의 모습임을 알게 된다. 그리고 넬은 유령의 모습으로나마 이를 가족들에게 다시 일러주고자 한다. 각자 자기 자신의 얼굴을 다시 보라고, 그것이 자기 자신임을 받아들이고 두려워하지도 외면하지도 말라고.. 힐하우스의 붉은 방은 가족 구성원 각자가 가장 편안해 하던 공간이었음에도 그들은 이를 모르고 있었다. 그 방문이 닫혀 있고 이를 굳이 '붉은 방'이라 낯설게 이름 붙이는 순간 이는 공포와 비밀의 대상이 된다. 그리고 그 방문을 그 공포와 비밀의 상징이나 다름없는 힐하우스 스스로 열었다고 여길 경우 방 내부는 비극의 공간이 되지만, 가족 구성원들 자신이 열고 들어갔을 때 그곳은 더없이 편안한 공간이었던 것이다. 때문에 힐하우스는 가족 구성원들을 붉은방 안으로 불러모아 무너뜨리려 하나, 넬은 바로 거기서부터 가족들이 자신들의 결함을 스스로 마주하여 극복하도록 인도한다. 그리고 마침내 부모까지 자신들의 결함을 인정하고 스스로의 힘으로 다시 붉은 방의 문을 여는 순간, 힐하우스는 비로소 그들을 놓아준다. 그들이 그 어떤 결함이 있어도 그들이 서로 사랑한다면, ""The rest is confetti,"" 그들은 여전히 그들이고 가족이다. 이를 받아들임으로써 그들은 이제 ""함께 걷는다(walked together)."".혹자는 작품의 후반부가 늘어진다거나 감상적이라고 말할 수 있겠다. 또 혹자는 셜리 잭슨의 원작을 가족에 대한 이야기로 재해석하는 것이 과연 적절한 것인지 조금 고깝게 여길 수도 있겠다. 그러나 불안한 기반 위에 집을 지어가듯 다섯 에피소드를 전개시키고 롱테이크로 이들을 지붕 아래 연결하려던 여섯 번째 에피소드에서 외려 그 집을 한 번에 붕괴시켜 버리곤 다시 그 잔해로부터 모두가 각자의 결함을 인정하고 다시 사랑하는 법을 배움으로써 모두 ""함께 걸을 수 있는"" 새로운 집을 지을 기반을 다져가는 이후 에피소드들까지, 여러 인물들과 과거와 현재라는 시점들을 촘촘히 엮어 마치 잘 짜인 설계도면에 따라 완성한 듯한 이 훌륭한 한 채의 작품이라면, 나는 몇 가지 결함 정도쯤 기꺼이 사랑해 줄 준비가 되어 있다."	1
7	tPvZVBO	두려움은 논리의 포기다합리적인 패턴들을 기꺼이 포기하는 것이다굴복하거나, 맞서 싸우거나그러나 중간은 없다	1
8	tPvZVBO	호러를 표방한 가족드라마1. 마이클 플래너건의 앞으로 행보가 더 기대된다.2. 약간 용두사미...3. 내가 호러를 잘 보는 편이라 안무서운걸까?	1
9	tPvZVBO	유령의 집에서 보여주는 공포보다는 그이후에 이야기, 트라우마에 대한 이야기가 더 중점이다. 올해의 드라마중에서 완성도를 손꼽을수 있을정도로 유려하면서 감각적인 연출을 보여준다. 특히 롱테이크촬영기법을 보여주는 6화는 정말뛰어나다.	1
