	id	reviews	label
0	81808	H 	1
1	81808	신박한 스토리. 구멍없는 연기력. 완전 존잼 	1
2	81808	재밌어요 	1
3	81808	영상미도 좋고 신선함 재밌다 	1
4	81808	사이코지만 괜찮아 이건 띵작이야... 서예지랑 김수현이 복귀하다니...크으....감격....👏😭	1
5	81808	흥미진진하고 재밌는 부분도 많음 	1
6	81808	진짜 이건 제 인생드라마 	1
7	81808	재밌어요 	1
8	81808	굿 	1
9	81808	서집착 가즈아!! 	1
10	81808	시청율이 안나오는게 이해가 안됩니다. 	1
11	81808	주말이 기다려지는 드라마. 배우들도 너무 예쁘고 케미좋고드라마의 전반적인 느낌?분위기가 넘 좋다 세련된 드라마 	1
12	81808	서예지 김수현 케미 최고 	1
13	81808	진짜.. 배우들 얼굴도 재밌고 걍 미침 ㅠㅠ 존잼 	1
14	81808	꿀잼 	1
15	81808	진짜 웃김... 대사랑 연기도 좋고 둘사이 텐션도♥ 	1
16	80592	배우들의 연기가 완벽하고 스토리 또한 완벽! 고급 상류층 십대들의 이야기 너무너무 꿀잼 	1
17	80592	처음엔 이게 뭐지? 했는데뒤로 갈 수록 더 더 더 재밌다 	1
18	80592	스페인 드라마는 이걸로 처음 접했는데 넘 재밌어서 종이의집도 보는중 .. 아론 사라애 	1
19	79980	말해뭐해명작에 명배우 	1
20	79980	말이필요없다최고다 	1
21	79980	빠른전개, 매력적인 캐릭터와 연기, 멜로가 최소화된 이야기 정말 재미있어요 	1
22	79980	명작 시즌2가 시즌1의 완성도를 넘을 수 있을까?	1
23	79980	good 	1
24	79980	세상재밌네 	1
25	79980	한국 드라마에서 이런 드라마가 많이 나와 줬으면 하는 바람이 생긴다. 	1
26	79980	한드 넘버원 마지막회까지 완벽	1
27	79980	완전 재밌음 	1
28	79980	세번 봤습니다. 결말을 알고 봐도 재미있음 	1
29	79980	필요없는 멜로를 뺀 드라마 굿 	1
30	79980	안본 눈 사요 	1
